"CAS"	"Synonyms"	"DatabaseCount"
"107-13-1"	"ACRYLONITRILE;2-Propenenitrile;107-13-1"	26
"106-93-4"	"1,2-Dibromoethane;106-93-4;ETHYLENE DIBROMIDE"	25
"106-99-0"	"1,3-BUTADIENE;Buta-1,3-diene;BUTADIENE"	25
"107-06-2"	"1,2-dichloroethane;Ethylene dichloride;107-06-2"	25
"106-46-7"	"1,4-DICHLOROBENZENE;106-46-7;p-Dichlorobenzene"	24
"100-41-4"	"ETHYLBENZENE;100-41-4;Phenylethane"	23
"100-42-5"	"STYRENE;Ethenylbenzene;Phenylethylene"	22
"100-44-7"	"BENZYL CHLORIDE;(Chloromethyl)benzene;100-44-7"	22
"106-89-8"	"EPICHLOROHYDRIN;2-(Chloromethyl)oxirane;106-89-8"	22
"107-02-8"	"ACROLEIN;Acrylaldehyde;2-Propenal"	22
"120-82-1"	"1,2,4-trichlorobenzene;120-82-1;Benzene, 1,2,4-trichloro-"	22
"123-91-1"	"1,4-DIOXANE;Dioxane;p-Dioxane"	22
"127-18-4"	"TETRACHLOROETHYLENE;Tetrachloroethene;127-18-4"	22
"71-43-2"	"benzene;benzol;Cyclohexatriene"	22
"7440-43-9"	"7440-43-9;Cadmium;Cd"	22
"79-01-6"	"TRICHLOROETHYLENE;Trichloroethene;79-01-6"	22
"91-20-3"	"naphthalene;91-20-3;Naphthalin"	22
"96-18-4"	"1,2,3-TRICHLOROPROPANE;96-18-4;Trichlorohydrin"	22
"101-14-4"	"4,4'-METHYLENEBIS(2-CHLOROANILINE);101-14-4;MOCA"	21
"101-77-9"	"4,4'-Methylenedianiline;101-77-9;4,4'-DIAMINODIPHENYLMETHANE"	21
"109-86-4"	"2-METHOXYETHANOL;109-86-4;Ethylene glycol monomethyl ether"	21
"111-76-2"	"2-Butoxyethanol;111-76-2;ETHYLENE GLYCOL MONOBUTYL ETHER"	21
"117-81-7"	"Bis(2-ethylhexyl) phthalate;DEHP;117-81-7"	21
"126-99-8"	"CHLOROPRENE;2-Chlorobuta-1,3-diene;2-Chloro-1,3-butadiene"	21
"302-01-2"	"HYDRAZINE;Diamine;302-01-2"	21
"50-00-0"	"formaldehyde;formalin;methanal"	21
"542-75-6"	"1,3-DICHLOROPROPENE;trans-1,3-Dichloropropene;10061-02-6"	21
"67-66-3"	"CHLOROFORM;Trichloromethane;67-66-3"	21
"74-87-3"	"Chloromethane;METHYL CHLORIDE;Methane, chloro-"	21
"75-01-4"	"VINYL CHLORIDE;Chloroethylene;Chloroethene"	21
"75-09-2"	"DICHLOROMETHANE;Methylene chloride;Methylene dichloride"	21
"95-50-1"	"1,2-DICHLOROBENZENE;o-Dichlorobenzene;95-50-1"	21
"95-80-7"	"2,4-Diaminotoluene;95-80-7;4-methylbenzene-1,3-diamine"	21
"100-00-5"	"4-Chloronitrobenzene;1-CHLORO-4-NITROBENZENE;100-00-5"	20
"10049-04-4"	"CHLORINE DIOXIDE;10049-04-4;chlorosyloxidanyl"	20
"101-68-8"	"4,4'-Diphenylmethane diisocyanate;101-68-8;Diphenylmethane diisocyanate"	20
"106-44-5"	"P-CRESOL;4-Methylphenol;106-44-5"	20
"107-05-1"	"ALLYL CHLORIDE;107-05-1;3-Chloro-1-propene"	20
"107-15-3"	"ethylenediamine;Ethane-1,2-diamine;1,2-Ethanediamine"	20
"108-10-1"	"4-Methyl-2-pentanone;METHYL ISOBUTYL KETONE;4-Methylpentan-2-one"	20
"108-88-3"	"toluene;methylbenzene;toluol"	20
"108-94-1"	"CYCLOHEXANONE;108-94-1;Ketohexamethylene"	20
"108-95-2"	"phenol;108-95-2;carbolic acid"	20
"109-99-9"	"TETRAHYDROFURAN;Oxolane;109-99-9"	20
"110-80-5"	"2-Ethoxyethanol;Cellosolve;110-80-5"	20
"111-44-4"	"111-44-4;2,2'-Dichlorodiethyl ether;BIS(2-CHLOROETHYL) ETHER"	20
"121-69-7"	"N,N-dimethylaniline;121-69-7;Dimethylaniline"	20
"1314-62-1"	"Vanadium(V) oxide;VANADIUM PENTOXIDE;1314-62-1"	20
"1333-82-0"	"1333-82-0;Chromium trioxide;Chromium(VI) oxide"	20
